Fold1,Mean±Std
25.56,25.56±nan
24.44,24.44±nan
38.33,38.33±nan
63.89,63.89±nan
88.33,88.33±nan
77.22,77.22±nan
59.44,59.44±nan
86.67,86.67±nan
73.89,73.89±nan
55.56,55.56±nan
59.33,59.33±22.26
